participant,d_age,d_gender,d_vr_experience,d_vis_impairment,walking_condition,walking_time,walking_score,joystick_condition,joystick_time,joystick_score,joystick_feedback,j_clarity,j_difficulty,j_navigation,j_recall_time,j_strategy,walking_feedback,w_clarity,w_difficulty,w_navigation,w_memory_time,w_strategy,p_begin,p_q1,p_q2,p_q3,p_q4,p_q5,p_q6,p_q7,p_q8,p_q9,p_q10,p_q11,presence_overall,v_begin,v_questions,INFOSCREEN,CLIENT_start,TIME_start,TIME_end,TIME_total
s.d616ac1e-5644-45aa-ba61-1fd0c733f17b.txt,12959,12959,10286,11927,3515,468070,468070,"","","","","","","","","",63062,63062,63062,63062,63062,63062,121294,121294,121294,121294,121294,121294,121294,121294,121294,121294,121294,121294,"",43163,43163,0,2024-10-11-22-06,2024-11-11-17-36,2024-11-11-17-48,12,1
s.51e35d64-a561-4e94-883b-96c5ce02bc41.txt,14082,14082,14750,16670,"","","",73996,763408,763408,99347,99347,99347,99347,99347,99347,"","","","","","",129936,129936,129936,129936,129936,129936,129936,129936,129936,129936,129936,129936,"",50201,50201,0,2024-09-23-22-02,2024-10-23-18-32,2024-10-23-18-51,19,2
s.1c185725-b692-4fc9-8179-afec1f34fac4.txt,12225,12225,9560,11892,"","","",305236,307328,307328,103336,103336,103336,103336,103336,103336,"","","","","","",144336,144336,144336,144336,144336,144336,144336,144336,144336,144336,144336,144336,"",59253,59253,0,2024-10-11-20-25,2024-11-11-15-55,2024-11-11-16-11,16,2
s.bae96e85-a65d-45d8-94b8-9a496f2aaf4f.txt,16277,16277,7309,23338,18276,389399,389399,"","","","","","","","","",103168,103168,103168,103168,103168,103168,98520,98520,98520,98520,98520,98520,98520,98520,98520,98520,98520,98520,"",46157,46157,0,2024-10-05-22-20,2024-11-05-17-50,2024-11-05-18-02,12,1
s.231f0bd4-ecb7-44dc-b517-9cbfac403e7b.txt,8091,8091,12111,18103,"","","",426672,6870,6870,82824,82824,82824,82824,82824,82824,"","","","","","",83774,83774,83774,83774,83774,83774,83774,83774,83774,83774,83774,83774,"",30518,30518,0,2024-10-05-23-06,2024-11-05-18-36,2024-11-05-18-47,11,2
s.27b8d4a1-cea3-4329-8c87-9738353d3c73.txt,10577,10577,10599,6556,"","","",378475,7796,7796,105357,105357,105357,105357,105357,105357,"","","","","","",89028,89028,89028,89028,89028,89028,89028,89028,89028,89028,89028,89028,"",32619,32619,0,2024-10-11-21-33,2024-11-11-17-03,2024-11-11-17-14,11,1
s.7bd794aa-37ed-41d2-8deb-c564d10f4ed2.txt,12169,12169,7311,12330,551634,21223,21223,"","","","","","","","","",177085,177085,177085,177085,177085,177085,96442,96442,96442,96442,96442,96442,96442,96442,96442,96442,96442,96442,"",30721,30721,0,2024-09-23-22-25,2024-10-23-18-55,2024-10-23-19-10,15,1
s.e4a3bb10-0e97-4fbb-b252-46fa0b9cc692.txt,5411,5411,3064,2316,331671,150281,150281,"","","","","","","","","",80004,80004,80004,80004,80004,80004,86035,86035,86035,86035,86035,86035,86035,86035,86035,86035,86035,86035,"",27475,27475,0,2024-10-05-22-05,2024-11-05-17-35,2024-11-05-17-46,11,1
s.a2851a4e-2866-40dd-ab3d-9af1a6046456.txt,9460,9460,9393,31930,434747,26627,26627,"","","","","","","","","",112640,112640,112640,112640,112640,112640,86478,86478,86478,86478,86478,86478,86478,86478,86478,86478,86478,86478,"",48486,48486,0,2024-10-05-21-19,2024-11-05-16-49,2024-11-05-17-02,13,1
s.3f8ba03b-ff76-40ea-971d-53f3ceb02931.txt,13509,13509,7400,15978,371380,9040,9040,"","","","","","","","","",181118,181118,181118,181118,181118,181118,137514,137514,137514,137514,137514,137514,137514,137514,137514,137514,137514,137514,"",19988,19988,0,2024-10-05-23-39,2024-11-05-19-09,2024-11-05-19-22,13,1
s.e44bc3fb-2d1c-4497-9c8e-a6130ccd4806.txt,11738,11738,11172,11847,"","","",378686,141104,141104,104125,104125,104125,104125,104125,104125,"","","","","","",132844,132844,132844,132844,132844,132844,132844,132844,132844,132844,132844,132844,"",37193,37193,0,2024-09-23-21-26,2024-10-23-17-56,2024-10-23-18-10,14,2
s.32285bdb-151e-4e9b-8956-b1fa9566d091.txt,4755,4755,2150,1420,522852,14802,14802,"","","","","","","","","",124143,124143,124143,124143,124143,124143,118930,118930,118930,118930,118930,118930,118930,118930,118930,118930,118930,118930,"",56078,56078,0,2024-09-24-22-40,2024-10-24-19-10,2024-10-24-19-24,14,1
s.09d5f8df-f35a-4133-b1d4-cf3958dc9b69.txt,7872,7872,6830,4896,"","","",455270,7203,7203,65523,65523,65523,65523,65523,65523,"","","","","","",86283,86283,86283,86283,86283,86283,86283,86283,86283,86283,86283,86283,"",43926,43926,0,2024-10-11-20-48,2024-11-11-16-18,2024-11-11-16-29,11,1
s.d4c851ed-7d50-43a8-a4ce-442410ab0bb5.txt,8640,8640,4921,9915,"","","",2451,487845,487845,98862,98862,98862,98862,98862,98862,"","","","","","",66785,66785,66785,66785,66785,66785,66785,66785,66785,66785,66785,66785,"",25738,25738,0,2024-10-11-21-14,2024-11-11-16-44,2024-11-11-16-55,11,1
s.fcd386b6-ab9e-4c58-897b-06c180f66b72.txt,11337,11337,8651,11486,"","","",227224,314774,314774,110829,110829,110829,110829,110829,110829,"","","","","","",130963,130963,130963,130963,130963,130963,130963,130963,130963,130963,130963,130963,"",54034,54034,0,2024-09-23-20-17,2024-10-23-16-47,2024-10-23-17-02,15,2
s.0bf02812-4571-4384-b09f-a672e54a9d1a.txt,11714,11714,9010,9946,"","","",543043,17733,17733,88154,88154,88154,88154,88154,88154,"","","","","","",95797,95797,95797,95797,95797,95797,95797,95797,95797,95797,95797,95797,"",41199,41199,0,2024-09-24-20-47,2024-10-24-17-17,2024-10-24-17-31,14,2
s.e976e685-fa1c-4b7d-b5bf-76ed5911f857.txt,7083,7083,5541,7426,"","","",242234,341457,341457,49796,49796,49796,49796,49796,49796,"","","","","","",64260,64260,64260,64260,64260,64260,64260,64260,64260,64260,64260,64260,"",28912,28912,0,2024-09-24-21-52,2024-10-24-18-22,2024-10-24-18-35,13,2
s.7b4b1b02-6891-4d6a-a357-22032508bba3.txt,10283,10283,5386,11496,8489,383838,383838,"","","","","","","","","",71804,71804,71804,71804,71804,71804,82535,82535,82535,82535,82535,82535,82535,82535,82535,82535,82535,82535,"",23972,23972,0,2024-10-05-21-37,2024-11-05-17-07,2024-11-05-17-17,10,1
s.9cb05d9f-b6c1-41ca-b415-f3e3a8b2b0b8.txt,8966,8966,19608,17005,"","","",564578,19671,19671,147383,147383,147383,147383,147383,147383,"","","","","","",168679,168679,168679,168679,168679,168679,168679,168679,168679,168679,168679,168679,"",62671,62671,0,2024-09-24-22-57,2024-10-24-19-27,2024-10-24-19-44,17,2
s.7058adb7-9caa-47e8-9d1b-61aca13942fe.txt,18009,18009,4584,4676,404544,12773,12773,"","","","","","","","","",70230,70230,70230,70230,70230,70230,62526,62526,62526,62526,62526,62526,62526,62526,62526,62526,62526,62526,"",20986,20986,0,2024-09-23-22-58,2024-10-23-19-28,2024-10-23-19-38,10,1
s.47be864e-0959-496d-af58-854ecdfdf4bb.txt,8409,8409,8627,11653,356777,47822,47822,"","","","","","","","","",139689,139689,139689,139689,139689,139689,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,"",40327,40327,0,2024-09-23-23-14,2024-10-23-19-44,2024-10-23-19-55,11,1
s.70efff8b-5c48-4281-ac88-7d07c2d6f8c8.txt,11330,11330,8122,14072,"","","",419720,14126,14126,109247,109247,109247,109247,109247,109247,"","","","","","",100413,100413,100413,100413,100413,100413,100413,100413,100413,100413,100413,100413,"",40150,40150,0,2024-09-23-19-58,2024-10-23-16-28,2024-10-23-16-40,12,2
s.8d704fa7-31a4-48a2-8168-937a5a6b7572.txt,7208,7208,6884,12889,"","","",374600,22503,22503,58844,58844,58844,58844,58844,58844,"","","","","","",89027,89027,89027,89027,89027,89027,89027,89027,89027,89027,89027,89027,"",41116,41116,0,2024-10-11-21-01,2024-11-11-16-31,2024-11-11-16-42,11,2
s.65dbcefb-afa4-414e-acaf-d3ca32a74d8f.txt,11305,11305,6448,10002,403982,229753,229753,"","","","","","","","","",146584,146584,146584,146584,146584,146584,107027,107027,107027,107027,107027,107027,107027,107027,107027,107027,107027,107027,"",35817,35817,0,2024-09-24-21-08,2024-10-24-17-38,2024-10-24-17-54,16,1
s.87767a8f-9b44-4414-965d-9a6d4e53051c.txt,11561,11561,11500,13164,"","","",5284,506393,506393,162290,162290,162290,162290,162290,162290,"","","","","","",95094,95094,95094,95094,95094,95094,95094,95094,95094,95094,95094,95094,"",60030,60030,0,2024-10-11-21-46,2024-11-11-17-16,2024-11-11-17-30,14,2
s.b1b2ae85-6fda-4c99-96f3-bcfb7d6a855a.txt,6073,6073,2949,2762,363199,10080,10080,"","","","","","","","","",73344,73344,73344,73344,73344,73344,79507,79507,79507,79507,79507,79507,79507,79507,79507,79507,79507,79507,"",31900,31900,0,2024-10-05-20-17,2024-11-05-15-47,2024-11-05-15-56,9,1
s.9e47b9e0-2f23-4074-b4b3-75de60adeb89.txt,10371,10371,6531,23197,352273,55279,55279,"","","","","","","","","",117435,117435,117435,117435,117435,117435,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,"",20424,20424,0,2024-09-24-20-06,2024-10-24-16-36,2024-10-24-16-47,11,1
s.a3322f72-0937-446c-9173-51901bba8bcb.txt,7636,7636,4051,3502,472980,12026,12026,"","","","","","","","","",194861,194861,194861,194861,194861,194861,96223,96223,96223,96223,96223,96223,96223,96223,96223,96223,96223,96223,"",63831,63831,0,2024-09-24-23-41,2024-10-24-20-11,2024-10-24-20-25,14,1
s.091a3ecd-19e6-4d34-9290-f4a1da87ec98.txt,11519,11519,5613,2168,"","","",14036,257913,257913,52703,52703,52703,52703,52703,52703,"","","","","","",170646,170646,170646,170646,170646,170646,170646,170646,170646,170646,170646,170646,"",27909,27909,0,2024-10-11-22-21,2024-11-11-17-51,2024-11-11-18-00,9,2
s.cc8a95da-e618-4af1-b1c6-b59fe62c5378.txt,10954,10954,5478,18888,453585,12253,12253,"","","","","","","","","",114346,114346,114346,114346,114346,114346,97428,97428,97428,97428,97428,97428,97428,97428,97428,97428,97428,97428,"",178601,178601,0,2024-10-05-23-21,2024-11-05-18-51,2024-11-05-19-06,15,1
s.856ff9b6-72bb-4a79-bfe9-48e092cddba3.txt,11846,11846,12285,23121,471624,12199,12199,"","","","","","","","","",153103,153103,153103,153103,153103,153103,197107,197107,197107,197107,197107,197107,197107,197107,197107,197107,197107,197107,"",27628,27628,0,2024-09-23-21-43,2024-10-23-18-13,2024-10-23-18-29,16,1
s.6572b301-59ed-4626-8a76-b4230ba2ac6e.txt,20961,20961,6706,24545,316234,104346,104346,"","","","","","","","","",95927,95927,95927,95927,95927,95927,90254,90254,90254,90254,90254,90254,90254,90254,90254,90254,90254,90254,"",19089,19089,0,2024-10-05-21-49,2024-11-05-17-19,2024-11-05-17-31,12,1
s.a2ad0cfb-be09-43ea-a2d1-11965556b6a0.txt,9832,9832,6201,3869,"","","",295512,17810,17810,158725,158725,158725,158725,158725,158725,"","","","","","",105523,105523,105523,105523,105523,105523,105523,105523,105523,105523,105523,105523,"",53948,53948,0,2024-09-24-20-32,2024-10-24-17-02,2024-10-24-17-14,12,2
s.a53b602a-c62c-4aad-8742-3d3cfbd9055c.txt,13220,13220,11700,10243,7802,406379,406379,"","","","","","","","","",74446,74446,74446,74446,74446,74446,72585,72585,72585,72585,72585,72585,72585,72585,72585,72585,72585,72585,"",18456,18456,0,2024-10-05-20-46,2024-11-05-16-16,2024-11-05-16-27,11,1
s.4475ca6c-0fe4-4ebc-9448-b74204a68298.txt,6176,6176,2801,2021,12013,460008,460008,"","","","","","","","","",83632,83632,83632,83632,83632,83632,72455,72455,72455,72455,72455,72455,72455,72455,72455,72455,72455,72455,"",31733,31733,0,2024-10-05-22-39,2024-11-05-18-09,2024-11-05-18-20,11,1
s.7a876f5b-4ca3-4bfb-b695-1eb8406ff965.txt,6110,6110,9204,13744,"","","",747933,7683,7683,114008,114008,114008,114008,114008,114008,"","","","","","",68235,68235,68235,68235,68235,68235,68235,68235,68235,68235,68235,68235,"",52745,52745,0,2024-09-23-23-34,2024-10-23-20-04,2024-10-23-20-21,17,2
s.6d962114-be55-4c32-a8bf-6491b0f23ccf.txt,35879,35879,4987,22532,"","","",518154,76935,76935,99105,99105,99105,99105,99105,99105,"","","","","","",86372,86372,86372,86372,86372,86372,86372,86372,86372,86372,86372,86372,"",51220,51220,0,2024-09-24-22-20,2024-10-24-18-50,2024-10-24-19-05,15,2
s.258a350c-494f-43ec-a6ff-8f4f374f58bc.txt,21710,21710,4811,5682,"","","",535099,104626,104626,71473,71473,71473,71473,71473,71473,"","","","","","",89421,89421,89421,89421,89421,89421,89421,89421,89421,89421,89421,89421,"",42774,42774,0,2024-10-05-20-28,2024-11-05-15-58,2024-11-05-16-13,15,2
s.118a43fc-d6f7-45a3-8f48-08426f9a57d5.txt,13038,13038,13903,14734,"","","",490097,83769,83769,128940,128940,128940,128940,128940,128940,"","","","","","",95765,95765,95765,95765,95765,95765,95765,95765,95765,95765,95765,95765,"",62008,62008,0,2024-09-24-21-35,2024-10-24-18-05,2024-10-24-18-20,15,2
s.bfeed3ca-363d-4e85-8e19-d6620daeebb0.txt,9628,9628,9439,50297,260255,170480,170480,"","","","","","","","","",170759,170759,170759,170759,170759,170759,136552,136552,136552,136552,136552,136552,136552,136552,136552,136552,136552,136552,"",47169,47169,0,2024-09-23-20-43,2024-10-23-17-13,2024-10-23-17-27,14,1
